species,Latitude,Longitude
dentipes,19.642345,-156.007748
dentipes,19.675129,-156.025897
dentipes,19.683,-156.0222
dentipes,19.685061,-156.032896
dentipes,19.686314,-156.03296
dentipes,19.686961,-156.031667
dentipes,20.6781,-156.3202
dentipes,20.6991,-156.3678
dentipes,20.7553,-156.3073
dentipes,20.7944,-156.4649
dentipes,20.7957,-156.4714
dentipes,20.8375,-156.4912
dentipes,20.8436,-156.3379
dentipes,20.8688,-156.5038
dentipes,20.8692,-156.4982
dentipes,20.8846,-156.4509
dentipes,20.887,-156.4995
dentipes,20.8896,-156.4836
dentipes,20.8953,-156.4564
dentipes,20.8967,-156.4482
dentipes,20.9004,-156.4372
dentipes,20.9008,-156.4364
dentipes,20.9308,-156.5019
dentipes,20.936,-156.3508
dentipes,20.9511,-156.5172
dentipes,20.9542,-156.5211
dentipes,20.9616,-156.5319
dentipes,20.9707,-156.5392
dentipes,20.9832,-156.5451
dentipes,20.9911,-156.5442
dentipes,20.9985,-156.5481
dentipes,21.0107,-156.5612
dentipes,21.013,-156.6394
dentipes,21.0163,-156.5813
dentipes,21.0196,-156.6348
dentipes,21.3034,-157.8785
dentipes,21.3116,-157.6619
dentipes,21.3264,-157.6843
dentipes,21.3375,-157.9016
dentipes,21.3416,-157.9013
dentipes,21.3467,-157.7127
dentipes,21.3695,-157.9992
dentipes,21.5355,-157.8396
dentipes,21.5619,-157.8757
